School_ID,Ranking,School,Program,Length_Of_Program, Total_Tuition ,Location,TOFEL ,GRE ,Portfolio ,Deadline
1,1,Camegie Mellon University,Master of Human-Computer Interaction (MHCI),1,72000.00,Pittsburgh PA,100,Y,Optional,20-Jan-22
1,2,Camegie Mellon University,Master of Design (MDes),2,84000.00,Pittsburgh PA,102,Y,Required,15-Jan-22
2,3,University of Washington,Master of Human-Computer Interaction and Design (MHCID),1,52704.00,Seattle WA,106,N,Optional,16-Jan-22
2,4,University of Washington,M.S in Human Centered Design & Engineering (HCDI),2,41280.00,Seattle WA,106,N,Required,17-Jan-22
2,5,University of Washington,M.S in Technology Innovation (MST),1.5,54000.00,Bellevue WA,100,N,Optional,18-Jan-22
3,6,Standford University,M.S in Design Impact (DI),2,75240.00,Standford CA,100,N,Required,1-Dec-21
4,7,Georgia Tech,Master of Human Computer Interaction (MS- HCI),2,70816.00,Atlanta GA,100,Y,Optional,1-Feb-22
5,8,Massachusetts Institute of Technology,Media Arts and Science (MAS),2,53450.00,Cambridge MA,100,N,Required,1-Dec-21
6,9,Parson School of Design,M.F.A in Design and Technology (DT),2,103500.00,New York NY,92,N,Required,2-Jan-22
7,10,New York University,Interactive Telecommunications Program Master of Professional Studies (ITP MPS),2,115680.00,New York NY,92,N,Required,1-Dec-21
8,11,UC Berkeley,Master of Information Management and Systems (MIMS),2,81261.00,Berkeley CA,90,N,Required,Jan 062022
8,12,UC Berkeley,Master of Design (MDes),1.5,73130.00,Berkeley CA,90,N,Required,4-Jan-22
9,13,Pratt Institute,M.S in Information Experience Design (IXD),2,54000.00,New York NY,79,N,Optional,5-Jan-22
10,14,California College of the Arts,MDes in Interaction Design,1,63900.00,San Francisco CA,100,N,Required,10-Jan-22
11,15,School of Visual Arts,M.F.A in Interaction Design (IxD),2,103720.00,New York NY,79,N,Required,Jan 152022
12,16,University of Michigan,M.S in Information (MSI),2,96480.00,Ann Arbor MI,102,N,Required,Jan 152022
13,17,Indiana University Bloomington,M.S in Human Computer Interaction (HCI/ d),2,57025.00,Bloomington IN,100,Y,Required,Jan 152022
14,18,Cornell University,Information Science Master of Professional Studies (MPS),1,58586.00,Ithaca NY,79,Y,Required,1-Jan-22
15,19,Purdue University,M.S in Computer Graphics Technology with specialization in Human-centered design and development (CGTHCDD),2,57588.00,West lafayette IN,80,Y,Required,1-Feb-22
16,20,University of Mayland,M.S in Human Computer Interaction (HCIM),2,53090.00,College Park MD,96,Y,Required,15-Jan-22
17,21,Rochester Institute of Technology,M.S in Human Computer Interaction (HCI),2,100272.00,Rochester NY,88,Y,Required,15-Feb-22
18,22,Arizon State University,M.S in User Experience (UX),2,42000.00,Mesa AZ,80,N,Required,1-Apr-22
19,23,University of Texas at Austin,M.S in Information Studies with the concentration of Interaction Design (MSIS),2,39572.00,Austin TX,79,N,Required,1-Feb-22
20,24,Illinois Institute of Technology,Master of Design (MDes),2,98004.00,Chicago IL,100,N,Optional,22-Jan-22
21,25,Northwestern University,M.S in Engineering Design Innovation (EDI),1.5,78372.00,Evanston IL,95,N,Required,15-Jan-22
22,26,Depaul University,M.S in Human Computer Interaction,2.5,44980.00,Chicago IL,80,N,Required,15-Jun-22
22,27,Depaul University,MS in Experience Design,2.5,44980.00,Chicago IL,80,N,Optional,15-Jun-22
23,28,Rice University,Master of Human Computer Interaction and Human Factors (MHCIHF),2,70000.00,Houston TX,90,N,Required,1-Dec-21
24,29,Northeastern University,M.S in Experience Design,1,53120.00,Boston MA,100,N,Required,1-Feb-22
25,30,UC Irvine,Master of Human Computer interaction & Design (MHCID),1,49500.00,Irvine CA,80,N,Required,15-Mar-22
